23.8 -250 19.3015 -80.8523
23.9 -250 19.3715 -80.8007
24 -250 19.4413 -80.7489
24.1 -250 19.511 -80.697
24.2 -250 19.5806 -80.6449
24.3 -250 19.65 -80.5926
24.4 -250 19.7193 -80.5402
24.5 -250 19.7885 -80.4876
24.6 -250 19.8576 -80.4348
24.7 -250 19.9265 -80.3819
24.8 -250 19.9953 -80.3288
24.9 -250 20.0639 -80.2755
25 -250 20.1324 -80.2221
25.1 -250 20.2008 -80.1685
25.2 -250 20.2691 -80.1148
25.3 -250 20.3372 -80.0609
25.4 -250 20.4051 -80.0068
25.5 -250 20.473 -79.9526
25.6 -250 20.5407 -79.8982
25.7 -250 20.6083 -79.8437
25.8 -250 20.6757 -79.7889
25.9 -250 20.743 -79.7341
26 -250 20.8102 -79.6791
26.1 -250 20.8772 -79.6239
26.2 -250 20.9441 -79.5685
26.3 -250 21.0108 -79.513
26.4 -250 21.0774 -79.4574
26.5 -250 21.1439 -79.4016
26.6 -250 21.2103 -79.3456
26.7 -250 21.2765 -79.2895
26.8 -250 21.3425 -79.2333
26.9 -250 21.4084 -79.1768
27 -250 21.4742 -79.1203
27.1 -250 21.5399 -79.0635
27.2 -250 21.6054 -79.0067
27.3 -250 21.6707 -78.9497
27.4 -250 21.736 -78.8925
27.5 -250 21.801 -78.8352
27.6 -250 21.866 -78.7777
27.7 -250 21.9308 -78.7201
27.8 -250 21.9954 -78.6623
27.9 -250 22.0599 -78.6044
28 -250 22.1243 -78.5463
28.1 -250 22.1885 -78.4881
28.2 -250 22.2526 -78.4298
28.3 -250 22.3166 -78.3713
28.4 -250 22.3804 -78.3126
28.5 -250 22.444 -78.2538
28.6 -250 22.5076 -78.1949
28.7 -250 22.5709 -78.1359
28.8 -250 22.6342 -78.0766
28.9 -250 22.6972 -78.0173
29 -250 22.7602 -77.9578
29.1 -250 22.823 -77.8982
29.2 -250 22.8856 -77.8384
29.3 -250 22.9481 -77.7785
29.4 -250 23.0105 -77.7184
29.5 -250 23.0727 -77.6582
29.6 -250 23.1348 -77.5979
29.7 -250 23.1967 -77.5375
29.8 -250 23.2584 -77.4769
29.9 -250 23.3201 -77.4161
30 -250 23.3816 -77.3553
0 -249 0 -89.0968
0.1 -249 0.0894 -89.0966
0.2 -249 0.178815 -89.0963
0.3 -249 0.268221 -89.0956
0.4 -249 0.357624 -89.0947
0.5 -249 0.447025 -89.0936
0.6 -249 0.536423 -89.0922
0.7 -249 0.625816 -89.0906
0.8 -249 0.715205 -89.0887
0.9 -249 0.804588 -89.0866
1 -249 0.893965 -89.0842
1.1 -249 0.983335 -89.0816
1.2 -249 1.0727 -89.0787
1.3 -249 1.16205 -89.0756
1.4 -249 1.2514 -89.0722
1.5 -249 1.34073 -89.0685
1.6 -249 1.43006 -89.0647
1.7 -249 1.51937 -89.0605
1.8 -249 1.60868 -89.0561
1.9 -249 1.69797 -89.0515
2 -249 1.78725 -89.0466
2.1 -249 1.87651 -89.0415
2.2 -249 1.96576 -89.0361
2.3 -249 2.055 -89.0305
2.4 -249 2.14422 -89.0246
2.5 -249 2.23342 -89.0184
2.6 -249 2.3226 -89.012
